tier,method,candidate_negative_ratio,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,fpr_at_95_recall_mean,fpr_at_95_recall_std,brier_mean,brier_std,ece_15_mean,ece_15_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,tp_mean,tp_std,fp_mean,fp_std,tn_mean,tn_std,fn_mean,fn_std,n_mean,n_std,ece_mean,ece_std,expected_precision_prev_0.01_mean,expected_precision_prev_0.01_std,reviews_per_true_positive_prev_0.01_mean,reviews_per_true_positive_prev_0.01_std,expected_precision_prev_0.001_mean,expected_precision_prev_0.001_std,reviews_per_true_positive_prev_0.001_mean,reviews_per_true_positive_prev_0.001_std,expected_precision_prev_1e-05_mean,expected_precision_prev_1e-05_std,reviews_per_true_positive_prev_1e-05_mean,reviews_per_true_positive_prev_1e-05_std,empirical_prevalence_mean,empirical_prevalence_std,seeds
VCSL public-label audit,invariant_logistic_poly2,1,0.9180329218106995,0.028494470549611173,0.9183226927033061,0.025695720849372175,0.3696296296296297,0.11564277335314378,0.11768293798918333,0.01982882679239844,0.0511361324615027,0.012152562885552196,0.8362962962962962,0.035339330960803474,0.849621291604131,0.03647108684013541,0.8196296296296296,0.08722281198196466,737.6666666666666,78.50053078376817,132.33333333333334,41.00406483915141,767.6666666666666,41.00406483915141,162.33333333333334,78.50053078376817,1800.0,0.0,0.0511361324615027,0.012152562885552196,0.023819586448915058,0.009933354111088729,46.710269283519125,17.335417227708916,0.0024185572180377697,0.0010321306796827853,462.25817186096566,174.93011929779,2.422669744355984e-05,1.0365218346987453e-05,46172.52745538009,17510.347347006707,0.5,0.0,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,10,0.917890650887574,0.02874381486866375,0.6215252471808239,0.08148639901774711,0.35733333333333334,0.11508641809175973,0.11582944408436997,0.025124788760498326,0.19034284191408868,0.04900532710212197,0.8445687645687646,0.03500929599506946,0.3567706792960604,0.05730348026824104,0.8220512820512821,0.09426556134255407,534.3333333333334,61.27261487266015,995.6666666666666,295.4138340249714,5504.333333333333,295.4138340249714,115.66666666666667,61.27261487266015,7150.0,0.0,0.19034284191408868,0.04900532710212197,0.024613046356663237,0.009720047128329067,45.167806647311046,17.69600684058387,0.0025004687841378025,0.0010094352936049283,446.693321622866,178.56879630043724,2.5048694138905228e-05,1.0136715286098656e-05,44614.49996893391,17874.575636884307,0.0909090909090909,1.6996749443881478e-17,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,100,0.9161652203856749,0.026137920487664296,0.23721683961987963,0.045038550509724884,0.36315151515151517,0.09185653264483522,0.11339783079304633,0.03263867631968377,0.2248426871987613,0.05048298378391097,0.8488148814881488,0.046237658221717465,0.054510446610818476,0.013799880080726504,0.8272727272727273,0.09458478203038553,182.0,20.808652046684813,3321.3333333333335,1044.4828066240887,18678.666666666668,1044.4828066240887,38.0,20.808652046684813,22220.0,0.0,0.2248426871987613,0.05048298378391097,0.02395277888522822,0.009170179208541305,45.56124191820391,15.099102046547111,0.002431416595059951,0.0009532386303959437,450.66344117460307,152.36366610606626,2.4354742663184294e-05,9.573378125770593e-06,45011.905359378514,15251.465712653177,0.009900990099009901,0.0,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,1000,0.9294310666666666,0.009856217814320778,0.045430805395010494,0.012080861701192073,0.32853666666666664,0.11334353282535944,0.10500638781005683,0.01747920812350428,0.21750643316757032,0.028600655337937653,0.861838161838162,0.023663082156478565,0.006146146891525762,0.0006969545929479093,0.8433333333333334,0.06027713773341708,84.33333333333333,6.027713773341708,13814.333333333334,2374.5871921943262,86185.66666666667,2374.5871921943262,15.666666666666666,6.027713773341708,100100.0,0.0,0.21750643316757032,0.028600655337937653,0.027945331103867557,0.012402657484749023,40.03558054298642,14.44301419343985,0.0028508261344652535,0.0013017365698131064,394.90449457013574,145.74314322471128,2.8571921961661737e-05,1.308754461112483e-05,39430.485037556566,14588.757336664565,0.000999000999000999,0.0,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,10000,0.9297163866666667,0.009437997674217359,0.00595012333431174,0.0025955015412198333,0.32840766666666665,0.11106298673425515,0.10459734641267499,0.01764271165510104,0.21733690705533212,0.02864741638503336,0.8627173949271739,0.023876928405685654,0.0006219934740498775,7.020760139339637e-05,0.8433333333333334,0.06027713773341708,84.33333333333333,6.027713773341708,137280.66666666666,23885.305238437573,862719.3333333334,23885.30523843757,15.666666666666666,6.027713773341708,1000100.0,0.0,0.21733690705533212,0.02864741638503336,0.027851875539803842,0.012152066814954246,40.01836993966817,14.207987024131823,0.002840679686987511,0.0012750798513818803,394.7308239366516,143.3715054253302,2.8469526820844505e-05,1.2819130996123375e-05,39413.10076360483,14351.358529557154,9.999000099990002e-05,0.0,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,1,0.9057672839506172,0.019914842395690045,0.896958779091381,0.017860089234979414,0.40592592592592597,0.08783636113505933,0.13704573176393203,0.010716170286832185,0.08347259866295627,0.05468181770727442,0.8087037037037037,0.017970597842900952,0.8063863780534285,0.07659320584451856,0.8329629629629629,0.11334604140807329,749.6666666666666,102.01143726726593,194.0,124.68760964907459,706.0,124.68760964907459,150.33333333333334,102.01143726726593,1800.0,0.0,0.08347259866295627,0.05468181770727442,0.0212933343390161,0.007385185971462917,50.608297163267586,15.987384261852776,0.002154871241169491,0.000762862648172184,501.5928168293365,161.3272411877871,2.157726546412535e-05,7.656022657025713e-06,50109.889980096916,16148.711503040562,0.5,0.0,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,10,0.9027495857988166,0.021556180665173057,0.5352051408927401,0.0412924652603789,0.4104615384615385,0.08797700075998212,0.1930679778271954,0.05449061600387461,0.28029264616411287,0.09232724221552374,0.7207925407925408,0.0959581564526225,0.24533652297246986,0.06331773008727408,0.8938461538461538,0.10148016974794145,581.0,65.96211033616193,1927.3333333333333,751.8140284228097,4572.666666666667,751.8140284228097,69.0,65.96211033616193,7150.0,0.0,0.28029264616411287,0.09232724221552374,0.022474816963861236,0.006884098534040562,47.62893673191646,15.577541594648656,0.002276260266493631,0.0007104456263233779,471.5283615675207,157.1915560914546,2.279477884841877e-05,7.129238041965154e-06,47100.465093483974,15734.733150740107,0.0909090909090909,1.6996749443881478e-17,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,100,0.900997761707989,0.014370817247118098,0.13383787178364145,0.012044852429420662,0.42707575757575755,0.09445113666669586,0.2534742228695679,0.06399281522133406,0.38430221698625106,0.08444847991677576,0.6335283528352836,0.11444785157949942,0.026188097416102795,0.007746364851502511,0.9318181818181818,0.06013071161510434,205.0,13.228756555322953,8128.0,2556.2595721092175,13872.0,2556.2595721092175,15.0,13.228756555322953,22220.0,0.0,0.38430221698625106,0.08444847991677576,0.02241359987613355,0.005944204274314039,46.942135688057355,13.29560519190867,0.0022691769630994404,0.00061320985152205,464.5979146703969,134.16474330016922,2.2722841936951926e-05,6.153213503721265e-06,46406.73360272774,13429.76993520883,0.009900990099009901,0.0,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,1000,0.9119086333333334,0.006398086135973341,0.024011424775963325,0.011044980051044786,0.37239666666666665,0.04919158091923182,0.20436321950827854,0.09212932985835193,0.33540913541968753,0.11568892966584232,0.7004662004662005,0.1538609631069589,0.003647123739801715,0.0019423805555186557,0.9,0.10440306508910546,90.0,10.44030650891055,29973.333333333332,15411.596975438119,70026.66666666667,15411.596975438119,10.0,10.44030650891055,100100.0,0.0,0.33540913541968753,0.11568892966584232,0.024279454414995655,0.005391201924655562,42.78172528068783,10.785816592907667,0.0024617217803268652,0.0005569992656356293,422.6155914687591,108.83869471025004,2.4654988951140382e-05,5.590099704524322e-06,42204.3408721566,10894.655287617916,0.000999000999000999,0.0,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,10000,0.9118154916666668,0.006104965755721584,0.0025061287587349462,0.0011592302483316042,0.3711356666666667,0.04071353555432558,0.2482763803354466,0.09020864410831736,0.3949042442086575,0.11139819964747767,0.6297543578975436,0.1606175719262092,0.000295343947004145,0.00014682893460496156,0.9366666666666666,0.06658328118479392,93.66666666666667,6.6583281184793925,370276.3333333333,160640.28705568644,629723.6666666666,160640.2870556864,6.333333333333333,6.658328118479393,1000100.0,0.0,0.3949042442086575,0.11139819964747767,0.025154974024468424,0.004242438752207357,40.55727891906703,7.175686692732142,0.0025517847618414012,0.00043979408548689667,400.16890545604,72.40920208120613,2.5558434436577334e-05,4.415476086384162e-06,39957.447824523064,7248.095894813344,9.999000099990002e-05,0.0,"31,37,41"
