tier,method,pr_auc,fpr95,recall
Synthetic twin,centralized_multimodal,0.9956227310336596,0.0220818954716558,0.9842471202777348
Synthetic twin,fedavg_secureagg_sim,0.9956925440677038,0.0217574817053444,0.9844847796575064
Synthetic twin,fedavg_quantized_transport_proxy,0.9956925148179454,0.0217574817053444,0.9844847796575064
Synthetic twin,local_multimodal,0.9946456207945984,0.0279920790297039,0.9746722915118604
VCSL public labels,centralized_multimodal,0.918322692703306,0.36962962962963,0.81962962962963
VCSL public labels,fedavg_secureagg_sim,0.91855827616337,0.369259259259259,0.806296296296296
VCSL public labels,fedavg_quantized_transport_proxy,0.91855827616337,0.369259259259259,0.806296296296296
VCSL public labels,local_multimodal,0.91747787786447,0.368148148148148,0.804814814814815
VCSL ISC visual,centralized_multimodal,0.752664306177305,0.9184444444444444,0.4342222222222222
VCSL ISC visual,fedavg_secureagg_sim,0.753750947724353,0.9195555555555556,0.4415555555555555
VCSL ISC visual,fedavg_quantized_transport_proxy,0.753750947724353,0.9195555555555556,0.4415555555555555
VCSL ISC visual,fedavgft_plain,0.7596389938548264,0.9262222222222222,0.4408888888888889
VCSL ISC visual,local_multimodal,0.7759698436715969,0.9093333333333332,0.4215555555555554
FMA audio 20 s,centralized_multimodal,0.993601219780261,0.0294444444444444,0.990777777777778
FMA audio 20 s,fedavg_secureagg_sim,0.9935073186968614,0.0303333333333333,0.9891111111111112
FMA audio 20 s,fedavg_quantized_transport_proxy,0.9935073186968614,0.0303333333333333,0.9891111111111112
FMA audio 20 s,fedavgft_plain,0.9938826518161208,0.0282222222222221,0.9888888888888888
FMA audio 20 s,local_multimodal,0.9940426063583536,0.0373333333333333,0.989222222222222
FMA audio 5 s,centralized_multimodal,0.994949457931414,0.0222222222222222,0.9911111111111112
FMA audio 5 s,fedavg_secureagg_sim,0.9950013414379496,0.0224444444444444,0.9894444444444443
FMA audio 5 s,fedavg_quantized_transport_proxy,0.9950013414379496,0.0224444444444444,0.9894444444444443
FMA audio 5 s,fedavgft_plain,0.9953248287518428,0.0214444444444444,0.9894444444444443
FMA audio 5 s,local_multimodal,0.9948650175699236,0.0267777777777777,0.9913333333333334
