tier,method,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,fpr_at_95_recall_mean,fpr_at_95_recall_std,brier_mean,brier_std,ece_15_mean,ece_15_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,tp_mean,tp_std,fp_mean,fp_std,tn_mean,tn_std,fn_mean,fn_std,n_mean,n_std,ece_mean,ece_std,expected_precision_prev_0.01_mean,expected_precision_prev_0.01_std,reviews_per_true_positive_prev_0.01_mean,reviews_per_true_positive_prev_0.01_std,expected_precision_prev_0.001_mean,expected_precision_prev_0.001_std,reviews_per_true_positive_prev_0.001_mean,reviews_per_true_positive_prev_0.001_std,expected_precision_prev_1e-05_mean,expected_precision_prev_1e-05_std,reviews_per_true_positive_prev_1e-05_mean,reviews_per_true_positive_prev_1e-05_std,seeds,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,brier,ece_15,accuracy,precision,recall,tp,fp,tn,fn,n,seed,ece,expected_precision_prev_0.01,reviews_per_true_positive_prev_0.01,expected_precision_prev_0.001,reviews_per_true_positive_prev_0.001,expected_precision_prev_1e-05,reviews_per_true_positive_prev_1e-05,isc_pair_features_available_locally,not_run_reason
VCSL public-label audit,client_clustered_invariant_gate,0.9140917695473251,0.027194241809309475,0.9150250461488225,0.02545173205828057,0.39518518518518525,0.0997300884135747,0.11888865290260979,0.018829831724338306,0.03581042848786722,0.008354079161663471,0.831851851851852,0.030637936085383045,0.8416946363668155,0.045685641760347215,0.8203703703703703,0.050262684454371015,738.3333333333334,45.23641600893392,141.0,49.68903299521938,759.0,49.68903299521938,161.66666666666666,45.23641600893392,1800.0,0.0,0.03581042848786722,0.008354079161663471,0.021416803396897343,0.0056680614790584885,48.96273504156871,13.020811663963608,0.002166170290058456,0.0005843835673915637,484.98759905582966,131.39182679090558,2.168903194465747e-05,5.863577034351365e-06,48447.72264062453,13152.203490754511,"31,37,41",,,,,,,,,,,,,,,,,,,,,,,,,
VCSL public-label audit,client_clustered_with_client_id,0.9166115226337449,0.029310684982236917,0.9173480533170227,0.026441072277759693,0.36925925925925923,0.1179889790487007,0.11858025680037099,0.020452818833165964,0.05310465973184364,0.010838589198806524,0.8344444444444443,0.032791899029719365,0.848710174341233,0.04308751130691955,0.8174074074074075,0.08190127550924436,735.6666666666666,73.71114795831994,133.66666666666666,47.51140214025822,766.3333333333334,47.51140214025822,164.33333333333334,73.71114795831994,1800.0,0.0,0.05310465973184364,0.010838589198806524,0.023777058382792576,0.009766275717509832,46.6353239720695,17.02548716338569,0.0024139451778533885,0.0010146522969796679,461.5019055363376,171.8026431941647,2.41801636658395e-05,1.0189554716568381e-05,46096.82587760583,17197.289806579858,"31,37,41",,,,,,,,,,,,,,,,,,,,,,,,,
VCSL public-label audit,fedadam,0.9120860082304527,0.02664736013309181,0.9104780503144712,0.02418418243744113,0.3811111111111111,0.09692175793130163,0.134227810916842,0.018382396838244497,0.09807151679728483,0.0107778221800618,0.8277777777777778,0.023260468239398154,0.8136656901904086,0.04137116046710386,0.8544444444444445,0.06532917598261823,769.0,58.7962583843564,179.0,54.147945482723536,721.0,54.147945482723536,131.0,58.7962583843564,1800.0,0.0,0.09807151679728483,0.0107778221800618,0.02327177704107997,0.007194685787901607,45.69433062522077,13.399374223967433,0.002358888477499337,0.0007453892321807018,452.0064272181368,135.21186716912595,2.3624383526394853e-05,7.483133996474661e-06,45146.33705243891,13534.58609113656,"31,37,41",,,,,,,,,,,,,,,,,,,,,,,,,
VCSL public-label audit,fedavg_plain,0.917998353909465,0.02852451794982133,0.9182800850219778,0.025726366541768336,0.36999999999999994,0.11510060012071242,0.11773060492440084,0.01978255925611959,0.05327839921167556,0.01098186383476987,0.8368518518518518,0.03509393625884557,0.84891604692955,0.03524880890561938,0.8218518518518518,0.08722281198196466,739.6666666666666,78.50053078376817,133.33333333333334,40.15387071420803,766.6666666666666,40.15387071420803,160.33333333333334,78.50053078376817,1800.0,0.0,0.05327839921167556,0.01098186383476987,0.023832714911023126,0.009870178047391598,46.62284568056921,17.217244634254627,0.002419836061646935,0.0010255389337926741,461.37598823119833,173.73765040020578,2.42394445060398e-05,1.0298988711095142e-05,46084.221668800405,17390.982284654834,"31,37,41",,,,,,,,,,,,,,,,,,,,,,,,,
VCSL public-label audit,fedprox_plain,0.9180008230452675,0.028526120902496326,0.9182819043350178,0.02572299895119205,0.36999999999999994,0.11510060012071242,0.11772767262629617,0.019781000725449117,0.05321509811990003,0.011006599257998378,0.8368518518518518,0.03509393625884557,0.84891604692955,0.03524880890561938,0.8218518518518518,0.08722281198196466,739.6666666666666,78.50053078376817,133.33333333333334,40.15387071420803,766.6666666666666,40.15387071420803,160.33333333333334,78.50053078376817,1800.0,0.0,0.05321509811990003,0.011006599257998378,0.023832714911023126,0.009870178047391598,46.62284568056921,17.217244634254627,0.002419836061646935,0.0010255389337926741,461.37598823119833,173.73765040020578,2.42394445060398e-05,1.0298988711095142e-05,46084.221668800405,17390.982284654834,"31,37,41",,,,,,,,,,,,,,,,,,,,,,,,,
VCSL public-label audit,fedyogi,0.9130008230452674,0.02647407949541019,0.9117479752876337,0.023802045463040006,0.3762962962962963,0.09399457124679231,0.13362570572961815,0.01886728566285885,0.10042450363371569,0.011900357836240983,0.8281481481481482,0.022935317887144344,0.8132061962200936,0.04394223559403476,0.8566666666666666,0.06412757346892481,771.0,57.7148161220323,180.33333333333334,57.45723047044065,719.6666666666666,57.45723047044065,129.0,57.7148161220323,1800.0,0.0,0.10042450363371569,0.011900357836240983,0.023562333213362773,0.007044265523247105,44.991993211433474,12.979428071517306,0.002388802059888471,0.0007299346031879153,444.9192042244649,130.97422872167456,2.3924481539922025e-05,7.328125955516378e-06,44436.91241565793,13110.402300238973,"31,37,41",,,,,,,,,,,,,,,,,,,,,,,,,
VCSL public-label audit,invariant_logistic_poly2,0.9180329218106995,0.028494470549611173,0.9183226927033061,0.025695720849372175,0.3696296296296297,0.11564277335314378,0.11768293798918333,0.01982882679239844,0.0511361324615027,0.012152562885552196,0.8362962962962962,0.035339330960803474,0.849621291604131,0.03647108684013541,0.8196296296296296,0.08722281198196466,737.6666666666666,78.50053078376817,132.33333333333334,41.00406483915141,767.6666666666666,41.00406483915141,162.33333333333334,78.50053078376817,1800.0,0.0,0.0511361324615027,0.012152562885552196,0.023819586448915058,0.009933354111088729,46.710269283519125,17.335417227708916,0.0024185572180377697,0.0010321306796827853,462.25817186096566,174.93011929779,2.422669744355984e-05,1.0365218346987453e-05,46172.52745538009,17510.347347006707,"31,37,41",,,,,,,,,,,,,,,,,,,,,,,,,
VCSL public-label audit,isotonic_calibrated_score,0.9057672839506172,0.019914842395690045,0.896958779091381,0.017860089234979414,0.40592592592592597,0.08783636113505933,0.13704573176393203,0.010716170286832185,0.08347259866295627,0.05468181770727442,0.8087037037037037,0.017970597842900952,0.8063863780534285,0.07659320584451856,0.8329629629629629,0.11334604140807329,749.6666666666666,102.01143726726593,194.0,124.68760964907459,706.0,124.68760964907459,150.33333333333334,102.01143726726593,1800.0,0.0,0.08347259866295627,0.05468181770727442,0.0212933343390161,0.007385185971462917,50.608297163267586,15.987384261852776,0.002154871241169491,0.000762862648172184,501.5928168293365,161.3272411877871,2.157726546412535e-05,7.656022657025713e-06,50109.889980096916,16148.711503040562,"31,37,41",,,,,,,,,,,,,,,,,,,,,,,,,
VCSL public-label audit,local_calibration,0.9164555555555557,0.02899756847202954,0.917204499206912,0.025200952760035623,0.37148148148148147,0.12270778967160373,0.1179346358600305,0.021408542579911562,0.04625424042070323,0.011473477782853628,0.833888888888889,0.03505287012077188,0.8526490385294218,0.03900392241301356,0.8092592592592592,0.07373905721983963,728.3333333333334,66.36515149785566,127.33333333333333,40.07908847932215,772.6666666666666,40.07908847932215,171.66666666666666,66.36515149785566,1800.0,0.0,0.04625424042070323,0.011473477782853628,0.023473076322348005,0.00958589909133659,47.29932133199906,17.62679335632566,0.002382266061682906,0.000994877850032762,468.2022425319906,177.8703693229226,2.386191305037511e-05,9.989812112631252e-06,46767.52357453105,17804.66372564859,"31,37,41",,,,,,,,,,,,,,,,,,,,,,,,,
VCSL public-label audit,mean_score_fusion,0.9061032921810699,0.020018805148389128,0.9053781233887076,0.019630726437944196,0.39111111111111113,0.08833857426800425,0.16950647371611863,0.01022778148230304,0.18971906351273007,0.009121156330542822,0.7805555555555556,0.04723202512629396,0.7281563150076885,0.07737197047655231,0.918148148148148,0.0623840488211939,826.3333333333334,56.1456439390745,321.3333333333333,131.54593620987816,578.6666666666666,131.54593620987816,73.66666666666667,56.1456439390745,1800.0,0.0,0.18971906351273007,0.009121156330542822,0.0238817937251514,0.005351959223954007,43.2691227334661,9.417996959863526,0.002420524868819516,0.000554607835469694,427.5338748558852,95.03615114044102,2.4241414135460975e-05,5.567968154248362e-06,42696.65660832198,9513.033111003962,"31,37,41",,,,,,,,,,,,,,,,,,,,,,,,,
