tier,method,candidate_negative_ratio,prevalence,fpr_at_95_recall_mean,fpr_at_95_recall_std,expected_precision_at_95_recall_mean,expected_precision_at_95_recall_std,expected_reviews_per_true_positive_mean,expected_reviews_per_true_positive_std,seeds
VCSL public-label audit,invariant_logistic_poly2,1,1e-05,0.3696296296296297,0.11564277335314378,2.7518179671300183e-05,8.857697517839539e-06,38908.99298245613,12172.80178162213,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,1,0.001,0.3696296296296297,0.11564277335314378,0.0027465391738545706,0.0008816475393915741,389.6947368421053,121.60750587346386,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,1,0.01,0.3696296296296297,0.11564277335314378,0.026995861886037073,0.008453251288560358,39.51929824561404,12.051194275748669,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,10,1e-05,0.35733333333333334,0.11508641809175973,2.8386619859727968e-05,8.503702175530316e-06,37614.65894736842,12114.238655534617,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,10,0.001,0.35733333333333334,0.11508641809175973,0.0028330299343110855,0.0008465132879940788,376.76421052631576,121.02245439333471,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,10,0.01,0.35733333333333334,0.11508641809175973,0.02782942196109997,0.008124977523191142,38.23789473684211,11.993216201141278,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,100,1e-05,0.36315151515151517,0.09185653264483522,2.741200290373341e-05,7.491869782483064e-06,38227.09301435407,9669.012008369345,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,100,0.001,0.36315151515151517,0.09185653264483522,0.0027361150552043293,0.0007456593265105462,382.8824880382775,96.59439590756881,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,100,0.01,0.36315151515151517,0.09185653264483522,0.026908285401837446,0.007145689638519794,38.8442105263158,9.572417612461772,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,1000,1e-05,0.32853666666666664,0.11334353282535944,3.177794183421913e-05,1.260970426739715e-05,34583.46118947368,11930.778883161182,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,1000,0.001,0.32853666666666664,0.11334353282535944,0.0031699164387954722,0.0012535734991810487,346.48224210526314,119.18967293950956,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,1000,0.01,0.32853666666666664,0.11334353282535944,0.031003561694806055,0.011890203827536501,35.23697894736842,11.811589210221669,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,10000,1e-05,0.32840766666666665,0.11106298673425515,3.167065331401624e-05,1.2319234980069928e-05,34569.88237789473,11690.723800461874,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,10000,0.001,0.32840766666666665,0.11106298673425515,0.003159291531991678,0.0012247347885189753,346.3465884210527,116.79149868160093,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,10000,0.01,0.32840766666666665,0.11106298673425515,0.030906222372105944,0.011619781868378424,35.22353578947369,11.573932301780276,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,1,1e-05,0.40592592592592597,0.08783636113505933,2.4158535401066165e-05,5.279104001437442e-06,42729.61754385965,9245.840291731367,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,1,0.001,0.40592592592592597,0.08783636113505933,0.002412288986665337,0.0005258708643927397,427.86315789473684,92.36686818307817,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,1,0.01,0.40592592592592597,0.08783636113505933,0.023803986628397545,0.005077740947641757,43.30175438596492,9.153473423548286,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,10,1e-05,0.4104615384615385,0.08797700075998212,2.3871860818015108e-05,5.1306880862392996e-06,43207.04566801619,9260.644314734158,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,10,0.001,0.4104615384615385,0.08797700075998212,0.002383739344240615,0.0005111251343327653,432.63271255060727,92.51476185181278,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,10,0.01,0.4104615384615385,0.08797700075998212,0.023528918286066142,0.004938686759070722,43.77441295546558,9.168129552882345,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,100,1e-05,0.42707575757575755,0.09445113666669586,2.296459172118688e-05,4.923900562667863e-06,44955.8933492823,9942.125490034652,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,100,0.001,0.42707575757575755,0.09445113666669586,0.002293356180219755,0.0004906514386287243,450.1038755980862,99.32282687371489,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,100,0.01,0.42707575757575755,0.09445113666669586,0.022655579248573404,0.0047518507479493745,45.50578947368421,9.842802663160935,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,1000,1e-05,0.37239666666666665,0.04919158091923182,2.579704289052003e-05,3.2653113395066287e-06,39200.25712631578,5178.0093687813305,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,1000,0.001,0.37239666666666665,0.04919158091923182,0.0025756061506408963,0.00032521985079512697,392.60449473684207,51.7288308824343,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,1000,0.01,0.37239666666666665,0.04919158091923182,0.025389540555857015,0.0031359246458714345,39.80765263157895,5.126280537898896,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,10000,1e-05,0.3711356666666667,0.04071353555432558,2.5804110747146428e-05,2.8417095055475787e-06,39067.521611578944,4285.592465154741,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,10000,0.001,0.3711356666666667,0.04071353555432558,0.0025763270179419632,0.0002829962086337698,391.27845368421055,42.81349686186448,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,10000,0.01,0.3711356666666667,0.04071353555432558,0.02539795700990624,0.0027258837424921868,39.67624315789474,4.242778968292878,"31,37,41"
VCSL public-label audit,mean_score_fusion,1,1e-05,0.39111111111111113,0.08833857426800425,2.507361848202027e-05,5.232800915418319e-06,41170.178947368426,9298.704303395954,"31,37,41"
VCSL public-label audit,mean_score_fusion,1,0.001,0.39111111111111113,0.08833857426800425,0.002503445912704736,0.0005212848648970894,412.2842105263158,92.89498494077498,"31,37,41"
VCSL public-label audit,mean_score_fusion,1,0.01,0.39111111111111113,0.08833857426800425,0.024684354427086507,0.005035733791359202,41.75789473684211,9.20580931845518,"31,37,41"
VCSL public-label audit,mean_score_fusion,10,1e-05,0.39569230769230773,0.09187745890925204,2.4910342750889076e-05,5.880883237236161e-06,41652.40534412956,9671.214751017154,"31,37,41"
VCSL public-label audit,mean_score_fusion,10,0.001,0.39569230769230773,0.09187745890925204,0.0024871355781127436,0.0005857130167112395,417.1017004048584,96.61640152667667,"31,37,41"
VCSL public-label audit,mean_score_fusion,10,0.01,0.39569230769230773,0.09187745890925204,0.024522942976855797,0.005646679868812755,42.2353036437247,9.57459834949048,"31,37,41"
VCSL public-label audit,mean_score_fusion,100,1e-05,0.39245454545454544,0.10143511544148852,2.5422321650554744e-05,7.120402752542007e-06,41311.59167464115,10677.273798982542,"31,37,41"
VCSL public-label audit,mean_score_fusion,100,0.001,0.39245454545454544,0.10143511544148852,0.002538023863373892,0.0007089737623803666,413.6969377990431,106.66703192215476,"31,37,41"
