tier,method,expansion,pr_auc,delta
Synthetic twin,fedavg_quantized_transport_proxy,16.0,0.9956925148179454,-2.924975839313504e-08
Synthetic twin,fedavg_plain,1.0,0.9956925440677038,0.0
Synthetic twin,fedavg_secureagg_sim,2.0,0.9956925440677038,0.0
VCSL public labels,fedavg_quantized_transport_proxy,16.0,0.91855827616337,0.0
VCSL public labels,fedavg_plain,1.0,0.91855827616337,0.0
VCSL public labels,fedavg_secureagg_sim,2.0,0.91855827616337,0.0
VCSL ISC visual,fedavg_quantized_transport_proxy,16.0,0.753750947724353,0.0
VCSL ISC visual,fedavg_plain,1.0,0.753750947724353,0.0
VCSL ISC visual,fedavg_secureagg_sim,2.0,0.753750947724353,0.0
FMA audio 20 s,fedavg_quantized_transport_proxy,16.0,0.9935073186968614,0.0
FMA audio 20 s,fedavg_plain,1.0,0.9935073186968614,0.0
FMA audio 20 s,fedavg_secureagg_sim,2.0,0.9935073186968614,0.0
FMA audio 5 s,fedavg_quantized_transport_proxy,16.0,0.9950013414379496,0.0
FMA audio 5 s,fedavg_plain,1.0,0.9950013414379496,0.0
FMA audio 5 s,fedavg_secureagg_sim,2.0,0.9950013414379496,0.0
