tier,method,candidate_negative_ratio,split_note,segment_overlap_metric,query_count_mean,query_count_std,candidate_pairs_mean,candidate_pairs_std,positive_candidates_mean,positive_candidates_std,negative_candidates_mean,negative_candidates_std,unique_query_reference_pairs_mean,unique_query_reference_pairs_std,recall_at_1_mean,recall_at_1_std,recall_at_5_mean,recall_at_5_std,recall_at_10_mean,recall_at_10_std,recall_at_100_mean,recall_at_100_std,precision_at_1_mean,precision_at_1_std,precision_at_5_mean,precision_at_5_std,precision_at_10_mean,precision_at_10_std,precision_at_50_mean,precision_at_50_std,precision_at_100_mean,precision_at_100_std,query_map_mean,query_map_std,ndcg_at_10_mean,ndcg_at_10_std,recall_at_1_query_bootstrap_ci95_low_mean,recall_at_1_query_bootstrap_ci95_low_std,recall_at_1_query_bootstrap_ci95_high_mean,recall_at_1_query_bootstrap_ci95_high_std,recall_at_5_query_bootstrap_ci95_low_mean,recall_at_5_query_bootstrap_ci95_low_std,recall_at_5_query_bootstrap_ci95_high_mean,recall_at_5_query_bootstrap_ci95_high_std,recall_at_10_query_bootstrap_ci95_low_mean,recall_at_10_query_bootstrap_ci95_low_std,recall_at_10_query_bootstrap_ci95_high_mean,recall_at_10_query_bootstrap_ci95_high_std,recall_at_100_query_bootstrap_ci95_low_mean,recall_at_100_query_bootstrap_ci95_low_std,recall_at_100_query_bootstrap_ci95_high_mean,recall_at_100_query_bootstrap_ci95_high_std,precision_at_1_query_bootstrap_ci95_low_mean,precision_at_1_query_bootstrap_ci95_low_std,precision_at_1_query_bootstrap_ci95_high_mean,precision_at_1_query_bootstrap_ci95_high_std,precision_at_5_query_bootstrap_ci95_low_mean,precision_at_5_query_bootstrap_ci95_low_std,precision_at_5_query_bootstrap_ci95_high_mean,precision_at_5_query_bootstrap_ci95_high_std,precision_at_10_query_bootstrap_ci95_low_mean,precision_at_10_query_bootstrap_ci95_low_std,precision_at_10_query_bootstrap_ci95_high_mean,precision_at_10_query_bootstrap_ci95_high_std,precision_at_50_query_bootstrap_ci95_low_mean,precision_at_50_query_bootstrap_ci95_low_std,precision_at_50_query_bootstrap_ci95_high_mean,precision_at_50_query_bootstrap_ci95_high_std,precision_at_100_query_bootstrap_ci95_low_mean,precision_at_100_query_bootstrap_ci95_low_std,precision_at_100_query_bootstrap_ci95_high_mean,precision_at_100_query_bootstrap_ci95_high_std,query_map_query_bootstrap_ci95_low_mean,query_map_query_bootstrap_ci95_low_std,query_map_query_bootstrap_ci95_high_mean,query_map_query_bootstrap_ci95_high_std,ndcg_at_10_query_bootstrap_ci95_low_mean,ndcg_at_10_query_bootstrap_ci95_low_std,ndcg_at_10_query_bootstrap_ci95_high_mean,ndcg_at_10_query_bootstrap_ci95_high_std,seeds
VCSL public-label audit,invariant_logistic_poly2,1,positive-connected-component asset-disjoint split; zero query/reference identity overlap,not_available_from_public_label_topology_features,540.0,85.01764522732913,1800.0,0.0,900.0,0.0,900.0,0.0,1789.0,5.291502622129181,0.953559098704143,0.013025467302718943,1.0,0.0,1.0,0.0,1.0,0.0,0.953559098704143,0.013025467302718943,0.6295223201224186,0.013061455704742505,0.6021730378357352,0.0075031929027026606,0.600470989823965,0.00980570975207217,0.600470989823965,0.00980570975207217,0.9612899199271169,0.006913823405702054,0.9689540648042495,0.007132631543897194,0.9342967518598729,0.013412100997127757,0.9701671772582329,0.01150537996124137,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9350602684750213,0.013413016865417269,0.9695964010025251,0.01235464282894437,0.6079738124105346,0.0121954324208622,0.6501439162800967,0.013283576716837352,0.5805946972844421,0.008116302337270783,0.6244268875462847,0.006420847974963556,0.5789807950574012,0.011967717661584228,0.6231816208882733,0.010592831891006923,0.5798354491413146,0.010495056919210658,0.6226163777708772,0.009387659186370174,0.9510579595538283,0.007797007075621482,0.9709415651455169,0.006571576108050571,0.9597330979617862,0.008105623971168797,0.9771128520047969,0.006876543387728341,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,10,positive-connected-component asset-disjoint split; zero query/reference identity overlap,not_available_from_public_label_topology_features,441.0,62.385895841928885,7150.0,0.0,650.0,0.0,6500.0,0.0,6688.0,199.00753754569197,0.7018128168609086,0.08832079930824516,0.9658783379175402,0.023733579250604146,0.9976931488613131,0.002134021111889093,1.0,0.0,0.7018128168609086,0.08832079930824516,0.25853897892700745,0.043904095334026186,0.15102640423813327,0.02105790690505355,0.09824985242942443,0.0006969795385829731,0.0981036636402342,0.0007533236277482617,0.7761957905118981,0.052663832052762906,0.8365281050612287,0.0432783994834187,0.6575821381987764,0.08498424539238394,0.7410783185226277,0.08629281563540818,0.9487710682695957,0.028984871174250908,0.980684616588685,0.018262365131555942,0.9937812009699044,0.005517298339196467,1.0,0.0,1.0,0.0,1.0,0.0,0.6607981552400954,0.08767220428634095,0.7426432878565317,0.08665320089061028,0.24702970939459853,0.039970395246064085,0.2707361186340013,0.04849823091771939,0.14455504533706923,0.018309084685116512,0.15727630419324543,0.02382940026289263,0.09547790211678898,0.0005465935622641979,0.10113203285488892,0.0009321793628280924,0.09534977239634013,0.0006372440307752167,0.10079317942723594,0.0007785926913973618,0.7512415357565999,0.054433636113883604,0.8027015310807913,0.0496530715993059,0.815568184435678,0.04425639013223692,0.8568546446315497,0.041537661732843914,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,100,positive-connected-component asset-disjoint split; zero query/reference identity overlap,not_available_from_public_label_topology_features,191.66666666666666,13.576941236277534,22220.0,0.0,220.0,0.0,22000.0,0.0,16178.0,1466.0040927637276,0.32836455002284143,0.036117320207670583,0.6237326785442363,0.057203951291100286,0.7683359981726815,0.08179077498428496,1.0,0.0,0.32836455002284143,0.036117320207670583,0.1335680676107812,0.018901963615355587,0.08352885640322827,0.013118093793775102,0.02204090147708238,0.0019721839233387195,0.01170580748839469,0.0007885626611827814,0.45469794648851397,0.04293606450273195,0.5190119463829587,0.05278660343865104,0.2638143844221106,0.03500326212552577,0.39642797319932993,0.040376982792916086,0.557521318714786,0.0566626337082689,0.6899105375361656,0.05350015928897653,0.707621059844678,0.08607867016070907,0.8273842698340186,0.07736585733802344,1.0,0.0,1.0,0.0,0.2636428353890666,0.0298210800561051,0.3981030150753769,0.03794076548468014,0.11743688137657987,0.01712505281268055,0.14903091213643976,0.02140819398811264,0.07602725749961932,0.012852319073609397,0.09067020709608649,0.013148163372995621,0.020913468859448756,0.0016699684347755651,0.023201667428049338,0.0022462906084568532,0.011223738735777809,0.0006121635713404416,0.012225872569399282,0.0009670606372800966,0.40343112134951187,0.04240168047365729,0.5092777986295101,0.04365380684952679,0.46909657275575584,0.05316746050863541,0.5731053837484662,0.05119778345295972,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,1000,positive-connected-component asset-disjoint split; zero query/reference identity overlap,not_available_from_public_label_topology_features,100.0,0.0,100100.0,0.0,100.0,0.0,100000.0,0.0,34675.0,3567.6069009911953,0.13999999999999999,0.03605551275463989,0.29000000000000004,0.026457513110645897,0.3933333333333333,0.030550504633038936,0.7933333333333333,0.040414518843273774,0.13999999999999999,0.03605551275463989,0.057999999999999996,0.005291502622129178,0.03933333333333334,0.003055050463303889,0.0134,0.0005291502622129185,0.007933333333333334,0.00040414518843273856,0.22532315149719503,0.03252293739496893,0.2528367853663873,0.032326953860856045,0.07666666666666667,0.030550504633038933,0.21333333333333335,0.04163331998932266,0.20333333333333334,0.03055050463303893,0.3834166666666666,0.02091699866934379,0.2966666666666667,0.025166114784235825,0.49,0.0360555127546399,0.7100000000000001,0.0519615242270663,0.8668333333333331,0.03771632051689754,0.08,0.03605551275463988,0.21008333333333326,0.036194209942107085,0.04066666666666668,0.004163331998932265,0.07666666666666667,0.0061101009266077795,0.030333333333333334,0.0030550504633038923,0.049666666666666665,0.0032145502536643144,0.011466666666666667,0.0006110100926607785,0.015266666666666666,0.0004163331998932267,0.007165833333333333,0.0004626035920021952,0.00873333333333333,0.00032145502536643124,0.163557760479934,0.028534296086468,0.2938968078418807,0.039329049837532985,0.18390459981352128,0.02314143766129494,0.32438563017374844,0.04279280190831471,"31,37,41"
VCSL public-label audit,invariant_logistic_poly2,10000,positive-connected-component asset-disjoint split; zero query/reference identity overlap,not_available_from_public_label_topology_features,100.0,0.0,1000100.0,0.0,100.0,0.0,1000000.0,0.0,103690.33333333333,20139.970266446107,0.060000000000000005,0.02,0.13,0.0360555127546399,0.18666666666666668,0.03785938897200183,0.38999999999999996,0.04358898943540671,0.060000000000000005,0.02,0.026000000000000006,0.007211102550927979,0.018666666666666668,0.003785938897200184,0.006333333333333333,0.001171893055416463,0.0039000000000000007,0.0004358898943540675,0.0985087737364357,0.007244475946837102,0.11295000244850761,0.014367636881278024,0.02,0.01,0.1134166666666666,0.030414155147452986,0.06666666666666667,0.030550504633038936,0.1967499999999999,0.04030120965926467,0.11333333333333333,0.03214550253664318,0.26333333333333336,0.04163331998932265,0.2966666666666667,0.04163331998932266,0.48666666666666664,0.049328828623162485,0.02,0.01,0.11,0.030000000000000006,0.014,0.005291502622129181,0.039349999999999996,0.009442854441322297,0.011658333333333333,0.0028939952199914447,0.026333333333333337,0.004163331998932267,0.0046,0.0010583005244258364,0.008066666666666668,0.0012858201014657271,0.0029666666666666665,0.00040414518843273823,0.004800833333333333,0.00043675174107647496,0.05581865853940751,0.007823307127146942,0.14782126855881206,0.013045286724605016,0.06236988037127374,0.013437563613851398,0.1674822569303688,0.018493525172881525,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,1,positive-connected-component asset-disjoint split; zero query/reference identity overlap,not_available_from_public_label_topology_features,540.0,85.01764522732913,1800.0,0.0,900.0,0.0,900.0,0.0,1789.0,5.291502622129181,0.9477160097291711,0.015352588201148813,1.0,0.0,1.0,0.0,1.0,0.0,0.9477160097291711,0.015352588201148813,0.6300509453555831,0.011155405803809693,0.6021730378357352,0.0075031929027026606,0.600470989823965,0.00980570975207217,0.600470989823965,0.00980570975207217,0.9467372817243925,0.004513596933647515,0.9614056360502191,0.005090055248095035,0.9280898963950266,0.017376209425451494,0.9650686270683585,0.015884017051404974,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9286606726507344,0.016540136628808894,0.9649041092064191,0.013921757632156037,0.6085267957902034,0.009510711393631865,0.6512652102976185,0.011685351214681743,0.580867783837224,0.007639226789120503,0.6245248429339347,0.00659060138131719,0.5785457734284242,0.01135865551796906,0.6226829784073229,0.008653134841323866,0.5783230785279087,0.011826841621888495,0.6224497333587943,0.009938602619690009,0.9351393007784314,0.0048293999008511,0.9576670047328322,0.003556056360636715,0.9518768275201963,0.006274698243425124,0.9704377136074275,0.004367545038731074,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,10,positive-connected-component asset-disjoint split; zero query/reference identity overlap,not_available_from_public_label_topology_features,441.0,62.385895841928885,7150.0,0.0,650.0,0.0,6500.0,0.0,6688.0,199.00753754569197,0.6918777977583094,0.09376982175256439,0.9565949640524131,0.026502939499077196,0.9951847097418343,0.004267690114252213,1.0,0.0,0.6918777977583094,0.09376982175256439,0.2540975685853503,0.03770591459614651,0.14969389355083176,0.018858214101996357,0.09824985242942443,0.0006969795385829731,0.0981036636402342,0.0007533236277482617,0.7107187948497223,0.03272629773103649,0.8039793541310606,0.031892219495023987,0.6492638995466614,0.09206111474282597,0.7333926257842954,0.09070104576480142,0.9378884578136336,0.030166234140357427,0.9737139173981199,0.022709734271844084,0.9887643227309466,0.009957943599921807,1.0,0.0,1.0,0.0,1.0,0.0,0.6485506079669814,0.0919236604246874,0.7343075053447675,0.0931670266006927,0.2424263725564834,0.0341903303658805,0.26550480306967666,0.04114920536109241,0.1436580076461302,0.016671766778683914,0.15614170891730864,0.020967498919832128,0.09545668987339052,0.0005366040752285561,0.10107921229309762,0.0010159239626584273,0.0952974829018398,0.000624434628472646,0.1009199621626629,0.0009643862855045723,0.6831454149141599,0.03192764959401096,0.7393978314363346,0.03213645216181482,0.7825682913593122,0.032430638831121315,0.8251783870841866,0.03205408547076396,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,100,positive-connected-component asset-disjoint split; zero query/reference identity overlap,not_available_from_public_label_topology_features,191.66666666666666,13.576941236277534,22220.0,0.0,220.0,0.0,22000.0,0.0,16178.0,1466.0040927637276,0.36825491091822743,0.06642600213853248,0.5676301964367291,0.030282419458432738,0.6916358306684941,0.02917158256434668,1.0,0.0,0.36825491091822743,0.06642600213853248,0.12150243642454696,0.011209339270498046,0.07514588091975026,0.007859395796993348,0.021851340033500838,0.0016472049907469628,0.011689224573821823,0.0008054328299599567,0.3242218314252161,0.025080327969715058,0.4417551694655264,0.018568351045884987,0.29852482107507233,0.06244770601978509,0.4346849588853357,0.07323709742092077,0.497850064717527,0.031070081006850818,0.6373686614892645,0.030096309011410853,0.6273602862798843,0.030618785436811367,0.7542865844373382,0.027909027571173316,1.0,0.0,1.0,0.0,0.3037604690117253,0.06282472438960449,0.4363099588853358,0.07246974895827517,0.1060767131110096,0.009178185939698146,0.13760601301964367,0.012831356047114346,0.06743301926298156,0.0066883902984973065,0.08306753464291151,0.009759299406395357,0.02079074158672149,0.0012922022365553607,0.02297877265113446,0.0019477891664699647,0.01120513809564435,0.0006121557884927447,0.012199438848857776,0.000973720640920053,0.2783091294783879,0.022032018443441572,0.3733669277898275,0.02748794527212817,0.38926230646717275,0.021221996929012894,0.49307226972629353,0.020474392077190397,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,1000,positive-connected-component asset-disjoint split; zero query/reference identity overlap,not_available_from_public_label_topology_features,100.0,0.0,100100.0,0.0,100.0,0.0,100000.0,0.0,34675.0,3567.6069009911953,0.14666666666666667,0.028867513459481284,0.22666666666666668,0.045092497528228956,0.30333333333333334,0.061101009266077866,0.75,0.036055512754639925,0.14666666666666667,0.028867513459481284,0.045333333333333344,0.009018499505645792,0.030333333333333337,0.006110100926607787,0.011333333333333334,0.0003055050463303892,0.0075,0.0003605551275463994,0.11193018241418833,0.05110602956135878,0.18353220943292048,0.04905590532304484,0.08333333333333333,0.023094010767585025,0.22,0.034641016151377546,0.15,0.04,0.31333333333333335,0.05033222956847165,0.21658333333333335,0.0569650843353482,0.39666666666666667,0.06658328118479391,0.6633333333333332,0.04041451884327379,0.83,0.03605551275463986,0.08333333333333333,0.023094010767585025,0.22,0.034641016151377546,0.03,0.007999999999999998,0.062016666666666664,0.010000041666579864,0.021333333333333333,0.006110100926607789,0.038674999999999994,0.006647696969627908,0.009398333333333333,0.000344975844564997,0.013268333333333332,0.0004135315384989811,0.006666666666666667,0.0004163331998932258,0.0083,0.00036055512754639774,0.0754733607528147,0.03545736356115167,0.15424000401597074,0.06622988309068972,0.130167988924676,0.03900663392729319,0.24197161118302837,0.05858050246210381,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,10000,positive-connected-component asset-disjoint split; zero query/reference identity overlap,not_available_from_public_label_topology_features,100.0,0.0,1000100.0,0.0,100.0,0.0,1000000.0,0.0,103690.33333333333,20139.970266446107,0.043333333333333335,0.025166114784235836,0.10333333333333333,0.03214550253664319,0.12666666666666668,0.04041451884327381,0.2933333333333334,0.04041451884327381,0.043333333333333335,0.025166114784235836,0.02066666666666667,0.006429100507328638,0.012666666666666668,0.00404145188432738,0.0041333333333333335,0.0013012814197295424,0.0029333333333333334,0.00040414518843273807,0.020199138453137894,0.019046845364393994,0.045268873416992844,0.027669921673655205,0.013333333333333334,0.015275252316519465,0.08333333333333333,0.03511884584284246,0.04666666666666667,0.02081665999466133,0.1634166666666666,0.0417734465101136,0.06666666666666667,0.030550504633038936,0.19666666666666666,0.050332229568471665,0.20666666666666667,0.03511884584284245,0.3867499999999999,0.04510196780629419,0.013333333333333334,0.015275252316519465,0.08333333333333333,0.03511884584284246,0.009333333333333334,0.004163331998932266,0.03333333333333333,0.007571877794400368,0.006666666666666668,0.003055050463303893,0.01966666666666667,0.005033222956847165,0.002598333333333333,0.001000004166657986,0.0058,0.0013999999999999998,0.0020666666666666667,0.00035118845842842483,0.003800000000000001,0.00045825756949558383,0.010216443613041564,0.00714354205860347,0.032931239045402586,0.03514146946216415,0.02408169459214657,0.013454920315989279,0.0699053681135662,0.04453530019339055,"31,37,41"
