tier,method,recall_target,fpr_at_95_recall,prevalence,expected_precision_at_95_recall
VCSL public labels,audio_similarity,0.95,0.7823666666666668,0.01,0.012116682375839079
VCSL public labels,audio_similarity,0.95,0.7823666666666668,0.001,0.0012140042934859212
VCSL public labels,audio_similarity,0.95,0.7823666666666668,1e-05,1.2142618096703843e-05
VCSL public labels,centralized_multimodal,0.95,0.4490111111111111,0.01,0.02092414227535731
VCSL public labels,centralized_multimodal,0.95,0.4490111111111111,0.001,0.0021134025090759514
VCSL public labels,centralized_multimodal,0.95,0.4490111111111111,1e-05,2.1157369536850106e-05
VCSL public labels,fedavg_secureagg_sim,0.95,0.4491555555555555,0.01,0.02091755401132631
VCSL public labels,fedavg_secureagg_sim,0.95,0.4491555555555555,0.001,0.0021127242934827575
VCSL public labels,fedavg_secureagg_sim,0.95,0.4491555555555555,1e-05,2.1150565658297647e-05
VCSL public labels,local_multimodal,0.95,0.4618111111111111,0.01,0.020355994197470285
VCSL public labels,local_multimodal,0.95,0.4618111111111111,0.001,0.0020549457894485238
VCSL public labels,local_multimodal,0.95,0.4618111111111111,1e-05,2.0570963639191247e-05
VCSL public labels,video_similarity,0.95,0.5150888888888888,0.01,0.018288996954400723
VCSL public labels,video_similarity,0.95,0.5150888888888888,0.001,0.0018427859198741165
VCSL public labels,video_similarity,0.95,0.5150888888888888,1e-05,1.8443262887485238e-05
VCSL ISC visual,audio_similarity,0.95,0.8933333333333334,0.01,0.010627586978409218
VCSL ISC visual,audio_similarity,0.95,0.8933333333333334,0.001,0.0010633653835391036
VCSL ISC visual,audio_similarity,0.95,0.8933333333333334,1e-05,1.0634321612557185e-05
VCSL ISC visual,centralized_multimodal,0.95,0.9184444444444444,0.01,0.010340023509948192
VCSL ISC visual,centralized_multimodal,0.95,0.9184444444444444,0.001,0.0010343220726507824
VCSL ISC visual,centralized_multimodal,0.95,0.9184444444444444,1e-05,1.0343572541042099e-05
VCSL ISC visual,fedavg_secureagg_sim,0.95,0.9195555555555556,0.01,0.010327658556736894
VCSL ISC visual,fedavg_secureagg_sim,0.95,0.9195555555555556,0.001,0.001033073578762617
VCSL ISC visual,fedavg_secureagg_sim,0.95,0.9195555555555556,1e-05,1.0331074394980204e-05
VCSL ISC visual,fedavgft_plain,0.95,0.9262222222222222,0.01,0.010254085443516182
VCSL ISC visual,fedavgft_plain,0.95,0.9262222222222222,0.001,0.0010256454548791575
VCSL ISC visual,fedavgft_plain,0.95,0.9262222222222222,1e-05,1.0256715217206026e-05
VCSL ISC visual,local_multimodal,0.95,0.9093333333333332,0.01,0.010442544023567174
VCSL ISC visual,local_multimodal,0.95,0.9093333333333332,0.001,0.001044674688302063
VCSL ISC visual,local_multimodal,0.95,0.9093333333333332,1e-05,1.0447209404107234e-05
VCSL ISC visual,video_similarity,0.95,0.9137777777777778,0.01,0.010392281269827379
VCSL ISC visual,video_similarity,0.95,0.9137777777777778,0.001,0.00103959886804098
VCSL ISC visual,video_similarity,0.95,0.9137777777777778,1e-05,1.0396396657070391e-05
FMA audio 5 s,audio_similarity,0.95,0.1486666666666666,0.01,0.0606331376053102
FMA audio 5 s,audio_similarity,0.95,0.1486666666666666,0.001,0.006355875505124844
FMA audio 5 s,audio_similarity,0.95,0.1486666666666666,1e-05,6.389790110864879e-05
FMA audio 5 s,centralized_multimodal,0.95,0.0222222222222222,0.01,0.3015873015873018
FMA audio 5 s,centralized_multimodal,0.95,0.0222222222222222,0.001,0.04103671706263503
FMA audio 5 s,centralized_multimodal,0.95,0.0222222222222222,1e-05,0.0004273215932348249
FMA audio 5 s,fedavg_secureagg_sim,0.95,0.0224444444444444,0.01,0.2994955863808327
FMA audio 5 s,fedavg_secureagg_sim,0.95,0.0224444444444444,0.001,0.04064692794797201
FMA audio 5 s,fedavg_secureagg_sim,0.95,0.0224444444444444,1e-05,0.00042309247643597674
FMA audio 5 s,fedavgft_plain,0.95,0.0214444444444444,0.01,0.30914415880247353
FMA audio 5 s,fedavgft_plain,0.95,0.0214444444444444,0.001,0.0424618960353999
FMA audio 5 s,fedavgft_plain,0.95,0.0214444444444444,1e-05,0.0004428134408329004
FMA audio 5 s,local_multimodal,0.95,0.0267777777777777,0.01,0.26381560677589616
FMA audio 5 s,local_multimodal,0.95,0.0267777777777777,0.001,0.03429479080177621
FMA audio 5 s,local_multimodal,0.95,0.0267777777777777,1e-05,0.0003546495110876514
FMA audio 5 s,video_similarity,0.95,0.1486666666666666,0.01,0.0606331376053102
FMA audio 5 s,video_similarity,0.95,0.1486666666666666,0.001,0.006355875505124844
FMA audio 5 s,video_similarity,0.95,0.1486666666666666,1e-05,6.389790110864879e-05
