tier,attack_scenario,attacker_fraction,method,communication_rounds,local_epochs,robustness_scope,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,fpr_at_95_recall_mean,fpr_at_95_recall_std,brier_mean,brier_std,ece_15_mean,ece_15_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,tp_mean,tp_std,fp_mean,fp_std,tn_mean,tn_std,fn_mean,fn_std,n_mean,n_std,ece_mean,ece_std,expected_precision_prev_0.01_mean,expected_precision_prev_0.01_std,reviews_per_true_positive_prev_0.01_mean,reviews_per_true_positive_prev_0.01_std,expected_precision_prev_0.001_mean,expected_precision_prev_0.001_std,reviews_per_true_positive_prev_0.001_mean,reviews_per_true_positive_prev_0.001_std,expected_precision_prev_1e-05_mean,expected_precision_prev_1e-05_std,reviews_per_true_positive_prev_1e-05_mean,reviews_per_true_positive_prev_1e-05_std,seeds
VCSL public-label audit,clean,0.0,coordinate_median,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof,0.9182625514403292,0.02733133858394656,0.9184992246237562,0.024576910746714815,0.36481481481481487,0.10900975906778466,0.11783655515491427,0.02005164216966284,0.05106119718281244,0.016371198717285325,0.8307407407407407,0.03143351465587965,0.8604253367636665,0.031917883468255935,0.7914814814814815,0.08004114168438575,712.3333333333334,72.03702751594719,117.0,34.698703145794944,783.0,34.698703145794944,187.66666666666666,72.03702751594719,1800.0,0.0,0.05106119718281244,0.016371198717285325,0.02312162520311607,0.009120812044542187,47.59840027702311,16.826610870075545,0.0023453696944638336,0.0009461100594221947,471.22022097723317,169.79580059803502,2.34909540092328e-05,9.49955226665273e-06,47069.620498000346,16996.406670673583,"31,37,41"
VCSL public-label audit,clean,0.0,fedavg_mean,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof,0.918317695473251,0.027293149679133825,0.9185512726554962,0.02454713914081549,0.36629629629629634,0.1084704735003917,0.11834258651964584,0.01982399507913728,0.05362519662235752,0.01643846157176777,0.8314814814814815,0.033726081297280615,0.8620154807898106,0.03298388269671588,0.7914814814814815,0.08759004772749787,712.3333333333334,78.83104295474806,115.66666666666667,36.363901514184825,784.3333333333334,36.363901514184825,187.66666666666666,78.83104295474806,1800.0,0.0,0.05362519662235752,0.01643846157176777,0.02303702337579795,0.009231205157992584,47.91094670948335,17.156289414876284,0.002336753950979013,0.0009574846710847343,474.3740986138775,173.12255682284248,2.3404625223608473e-05,9.613676393471693e-06,47385.32080809723,17329.411971699134,"31,37,41"
VCSL public-label audit,clean,0.0,krum,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof,0.918004938271605,0.02663607447324035,0.9182975515487984,0.024071404042187446,0.3637037037037037,0.10777968688648985,0.1186578143740837,0.018581425106730633,0.05476083978272083,0.020042797455929264,0.8322222222222222,0.03237511618740771,0.8608841229051252,0.0361955577079362,0.7951851851851851,0.08589638700441085,715.6666666666666,77.30674830396977,117.66666666666667,39.55165398985652,782.3333333333334,39.551653989856526,184.33333333333334,77.30674830396977,1800.0,0.0,0.05476083978272083,0.020042797455929264,0.0233307945934883,0.009475538917455995,47.289264096846125,16.56280300136799,0.002367420624516774,0.0009839610506893611,468.10075588635635,167.13373937744063,2.3712762591444046e-05,9.880784689565228e-06,46757.36485273248,16729.936740745434,"31,37,41"
VCSL public-label audit,clean,0.0,trimmed_mean,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof,0.9180827160493826,0.027216730444620033,0.9183527830287815,0.02448076895628346,0.3662962962962963,0.11120181482961138,0.1181504886288895,0.019772415835312064,0.052280232276656964,0.018585349452064005,0.8307407407407407,0.031231578932768428,0.860619915529674,0.0336275410830424,0.7914814814814815,0.08047952989742353,712.3333333333334,72.43157690768118,117.0,36.38681079732051,783.0,36.38681079732051,187.66666666666666,72.43157690768118,1800.0,0.0,0.052280232276656964,0.018585349452064005,0.023084025613566244,0.009247868987773217,47.7834144856969,16.995107166457874,0.0023416324390124264,0.0009593968370906384,473.08718253748685,171.496081406984,2.345361282995857e-05,9.633080949406555e-06,47256.501668234385,17166.60324786486,"31,37,41"
VCSL public-label audit,label_flip,0.1,coordinate_median,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof,0.9182448559670782,0.027599012850804544,0.9185646080514758,0.024777094571018097,0.3696296296296297,0.108099938519034,0.11834138286908191,0.020233869782754488,0.05227337064863328,0.02078836605185341,0.83,0.03166666666666666,0.8637455193039152,0.035651225557016934,0.7862962962962964,0.08589638700441085,707.6666666666666,77.30674830396977,113.66666666666667,38.734136537856806,786.3333333333334,38.734136537856806,192.33333333333334,77.30674830396977,1800.0,0.0,0.05227337064863328,0.02078836605185341,0.02258605702599698,0.008737455056388899,48.52402885682576,16.736962082452298,0.0022895973963667784,0.0009053926272959103,480.5606548279689,168.8911628320187,2.2930715986339596e-05,9.089649781792807e-06,48004.58951165372,16905.853245284317,"31,37,41"
VCSL public-label audit,label_flip,0.1,fedavg_mean,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof,0.918456378600823,0.028371598796142025,0.9186327752060084,0.025460903485250663,0.3666666666666667,0.11446062453045254,0.12450952271663825,0.013839700758648753,0.08898613739451071,0.033076199498955364,0.830925925925926,0.03461576272172239,0.8583324223541622,0.03531717201590432,0.7955555555555556,0.09523849206266538,716.0,85.71464285639881,120.33333333333333,40.64890322423636,779.6666666666666,40.64890322423636,184.0,85.71464285639881,1800.0,0.0,0.08898613739451071,0.033076199498955364,0.02337895942928303,0.010119007684347375,47.861217588092536,17.929079785659138,0.0023732062522997923,0.0010510435761200484,473.872286570752,180.92071420074225,2.377174096466647e-05,1.0554726855487124e-05,47335.089874663296,18110.00049985988,"31,37,41"
VCSL public-label audit,label_flip,0.1,krum,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof,0.918441975308642,0.027111216605745038,0.9187465469976576,0.02446388467863829,0.3651851851851852,0.10061743543122734,0.11886876068157942,0.019962430162405422,0.05397427474678623,0.02543058713449941,0.8285185185185185,0.03298116434642801,0.8614211833812137,0.042009413284488865,0.7870370370370369,0.09489652150758045,708.3333333333334,85.40686935682243,117.0,45.967379738244816,783.0,45.967379738244816,191.66666666666666,85.40686935682243,1800.0,0.0,0.05397427474678623,0.02543058713449941,0.022728643484636973,0.008644471331412277,47.91556241636486,15.582953581652985,0.0023042245359381546,0.0008965092907945021,474.420675292409,157.24616796031648,2.3077403687709453e-05,9.001301367909693e-06,47389.98309165726,15740.199749613299,"31,37,41"
VCSL public-label audit,label_flip,0.1,trimmed_mean,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof,0.9180654320987652,0.02745258846859386,0.918402351648561,0.024629917601533092,0.3685185185185185,0.11301880829670159,0.11837667374088733,0.01967661352994503,0.05148898874539013,0.0228500644769309,0.8300000000000001,0.031831927446170624,0.8615015329068408,0.03552319135955434,0.7888888888888889,0.08276099755349366,710.0,74.48489779814429,116.0,38.118237105091836,784.0,38.118237105091836,190.0,74.48489779814429,1800.0,0.0,0.05148898874539013,0.0228500644769309,0.022874848708143585,0.009151776474121609,48.207547145513644,17.123676187081077,0.0023199017147758705,0.0009490246578618092,477.3670666501832,172.79345970599994,2.323538347672283e-05,9.52848241086989e-06,47684.91421216383,17296.469646787074,"31,37,41"
VCSL public-label audit,label_flip,0.2,coordinate_median,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof,0.9178839506172839,0.028210455487481193,0.9183393463230615,0.02527924312545808,0.3755555555555555,0.11754169210418935,0.11882181457252557,0.019895399811342675,0.05543585565817253,0.021455099325587475,0.8300000000000001,0.03492054473292823,0.8631043831391576,0.03667837308403337,0.7870370370370369,0.09051521482726727,708.3333333333334,81.4636933445405,114.33333333333333,39.272551907577046,785.6666666666666,39.272551907577046,191.66666666666666,81.46369334454052,1800.0,0.0,0.05543585565817253,0.021455099325587475,0.02251055300238489,0.009367886989614117,49.38849705865695,18.23115419059243,0.0022825269960633342,0.0009708523339800344,489.28392486462934,183.9689195596146,2.28605768868673e-05,9.746989559010508e-06,48877.78098352158,18415.12311015205,"31,37,41"
VCSL public-label audit,label_flip,0.2,fedavg_mean,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof,0.9177740740740742,0.029255440522796775,0.9180816234311333,0.026362333049952006,0.3696296296296296,0.12139789355532814,0.12817089104671728,0.015308091846178486,0.10509253539153214,0.027619666659494266,0.8287037037037037,0.03479363027651657,0.857957361561656,0.03822143570658703,0.791111111111111,0.09643650760992954,712.0,86.7928568489366,120.33333333333333,43.14317249963583,779.6666666666666,43.14317249963583,188.0,86.7928568489366,1800.0,0.0,0.10509253539153214,0.027619666659494266,0.02319814591882899,0.010226387957090875,48.52420088540367,18.81418703816321,0.0023546461277854985,0.0010616315371305902,480.56239075270986,189.85225102146515,2.358560056943206e-05,1.066042380202359e-05,48004.76327615639,19004.039289184686,"31,37,41"
